,all_frac,best_frac,best_match,best_match_dk,entropy,idx,n_matches,top_occurence,w
1546,0.049232736572890026,0.25752508361204013,Religion, religi_ værdipol,2.2902357353849427,622,299,1564,bestemt
1547,0.09025270758122744,0.29069767441860467,EU, EU _ eu,2.087161979518794,1626,86,277,løsningen
1548,1.225519287833828,0.4553472987872106,Economy, økonom_ vækst,1.0952728846010669,865,907,337,øge
1549,0.6933886937080805,0.6204629894255501,Taxes,skat,0.9935839612976421,857,3499,3131,billigere
1550,3.210526315789474,0.6321243523316062,Employment, beskæftig,0.8106440417721804,2735,193,38,efteruddannelse
1553,0.6628571428571428,0.5603864734299517,Taxes,skat,1.3262740852409451,5490,207,175,olieselskaber
1554,0.12282157676348547,0.33636363636363636,Culture,kunst _musik_museum_kulturpol,1.9561043871168644,3182,440,1205,stevns
1555,0.2137648131267092,0.23904179408766565,Economy, økonom_ vækst,2.111553934132487,942,1962,2194,positive
1556,0.4351491569390402,0.5325396825396825,Economy, økonom_ vækst,1.7480631183904567,378,1260,1542,eksempel
1557,0.23141537169256615,0.44979591836734695,Social policy,fattig_socialt udsat_socialminis_svageste,1.694863656879291,1595,1225,2381,støt
1558,0.6022267206477733,0.6556473829201102,Foreign affairs,udenrig_ forsvaret _militær,1.2268019186902657,1097,1815,1976,bidrag
1559,0.028433151845130067,0.24352331606217617,Culture,kunst _musik_museum_kulturpol,2.1082137653537223,643,193,1653,via
1560,0.05723905723905724,0.2328767123287671,Immigration,indvandr_flygt_udlænding,2.061622241061073,946,73,297,bekendt
1561,0.38139204545454547,0.5724946695095949,Foreign affairs,udenrig_ forsvaret _militær,1.5922764510930174,548,938,1408,situation
1562,1.2875816993464053,0.76953125,Taxes,skat,0.7330043811811672,1728,256,153,finansiere
1564,0.6175523349436393,0.4261111111111111,Foreign affairs,udenrig_ forsvaret _militær,1.956195403614381,423,1800,1242,styrke
1565,0.17613636363636365,0.25067385444743934,Social policy,fattig_socialt udsat_socialminis_svageste,2.1834221149055546,2252,371,528,fællesskaber
1567,2.6254375729288215,0.8349413685616743,Taxes,skat,0.6103812941123344,2387,13474,4285,bank
1568,2.865079365079365,0.8414918414918415,Taxes,skat,0.58717860658457,2882,12870,3780,bankerne
1569,0.02575488454706927,0.2248062015503876,Culture,kunst _musik_museum_kulturpol,2.2044616869169142,590,258,2252,uger
1570,0.7965299684542587,0.6994459833795014,Education,undervis_folkeskole_ungdomsuddan,1.0122566915891449,965,2888,2536,seje
1571,0.4333183655141446,0.35994032077582994,Social policy,fattig_socialt udsat_socialminis_svageste,1.6516552966031504,672,2681,2227,initiativ
1572,0.9824766355140186,0.7217645039478201,Culture,kunst _musik_museum_kulturpol,0.8635422431665971,623,5826,4280,flot
1573,0.18299445471349354,0.3373083475298126,Science,forskning_ universitet_videregående udd,1.823719659487035,1744,587,1082,anbefalinger
1574,2.979591836734694,0.8504854368932039,Employment, beskæftig,0.6668979143372665,3108,515,147,fagforeninger
1575,0.3261443661971831,0.43031358885017423,Culture,kunst _musik_museum_kulturpol,1.8364554888064688,240,1722,2272,sted
1576,0.6565377532228361,0.6974241930224976,Economy, økonom_ vækst,1.1189199753755945,592,6134,6516,besøgte
1577,0.16831683168316833,0.4594594594594595,Education,undervis_folkeskole_ungdomsuddan,1.5529939772234354,1963,37,101,brænder
1578,0.19014084507042253,0.391304347826087,Environment, klima_ miljø _ naturen ,1.9555319455721578,1091,207,426,idé
1579,1.4669476486246673,0.943905224093634,Economy, økonom_ vækst,0.322701211653852,2279,7006,4508,ærø
1580,1.3870967741935485,0.450261780104712,Employment, beskæftig,1.252036107442709,2049,382,124,kompetencer
1581,0.25,0.6363636363636364,Employment, beskæftig,1.482378398053846,5249,44,112,dam
1582,0.129366106080207,0.3472222222222222,Education,undervis_folkeskole_ungdomsuddan,2.2071824597203094,2082,288,773,lede
1583,1.0,0.42857142857142855,Elder care,hjemmehjælp_ ældre _ pension_ plejehjem,1.135693975614254,4417,42,18,nedslidte
1584,1.9799646434885092,0.9882352941176471,Economy, økonom_ vækst,0.08433789714795119,1063,3400,1697,balance
1585,0.013490725126475547,0.16494845360824742,Economy, økonom_ vækst,2.3348028423425276,1004,97,1186,tingene
1586,1.0611764705882354,0.6424501424501424,Taxes,skat,1.3462867384073751,700,702,425,høje
1587,2.302661596958175,0.7004395095998149,Health, sundhed,1.0747673323304712,526,8646,2630,adgang
1588,2.1470588235294117,0.8902439024390244,EU, EU _ eu,0.48779965782819823,6079,164,68,eu-borgere
1589,0.25745337053899253,0.5347773032336791,Economy, økonom_ vækst,1.3677131725297698,320,3278,6809,tog
1590,0.05598831548198637,0.27283511269276395,Crime,kriminal_kriminel,2.2479436961074373,536,843,4108,problemet
1591,0.11151241534988714,0.6730245231607629,Education,undervis_folkeskole_ungdomsuddan,1.2866350909953672,572,367,2215,måneder
1592,0.5669605952052907,0.4442405268271618,Social policy,fattig_socialt udsat_socialminis_svageste,1.305256646125018,272,9263,7258,aarhus
1593,0.04723455793298345,0.23306772908366533,Crime,kriminal_kriminel,2.2883960880399923,372,502,2477,én
1594,0.43943961695336053,0.5255567338282079,EU, EU _ eu,1.5476878428186316,380,4715,5639,udfordringer
1595,0.03861788617886179,0.14393939393939395,Health, sundhed,2.420799004957326,876,132,492,dårligt
1596,6.285714285714286,0.9361702127659575,Employment, beskæftig,0.2373777983396794,3323,47,7,jobbet
1597,0.31853582554517135,0.4282722513089005,Economy, økonom_ vækst,1.7707977380473976,2349,955,1284,sønderjylland
1598,0.2248847926267281,0.44363636363636366,Culture,kunst _musik_museum_kulturpol,1.8348491541456482,1439,550,1085,michael
1599,0.16666666666666666,0.35714285714285715,Economy, økonom_ vækst,2.0822202902481384,675,224,480,værd
1600,0.09210526315789473,0.6774193548387096,Science,forskning_ universitet_videregående udd,1.1142149694748098,2245,31,228,dygtig
1601,0.058419243986254296,0.288135593220339,Culture,kunst _musik_museum_kulturpol,1.7045027022466883,1631,59,291,indtryk
1602,0.8944009880609304,0.8947693574958814,Education,undervis_folkeskole_ungdomsuddan,0.4559357863342027,1124,4856,4858,engagerede
1603,0.12666666666666668,0.4298642533936652,Science,forskning_ universitet_videregående udd,1.6995064071623665,1083,221,750,udgangspunkt
1604,1.3513006796344036,0.791326425581555,Environment, klima_ miljø _ naturen ,0.6740680544300874,97,14573,8534,alternativet
1605,0.13793103448275862,0.2857142857142857,Employment, beskæftig,1.9102723987231458,940,70,145,presset
1606,0.0871694417238002,0.35039370078740156,Culture,kunst _musik_museum_kulturpol,2.154265190735428,400,508,2042,kort
1607,0.5918367346938775,0.5471698113207547,Employment, beskæftig,0.8397987604318772,2661,106,98,arbejdsforhold
1608,0.3721225995167239,0.6295180722891566,Crime,kriminal_kriminel,1.5510169382914296,42,4648,7863,blevet
1609,0.6806411837237978,0.4872021182700794,Economy, økonom_ vækst,1.4336040676833757,891,3399,2433,ideer
1610,4.974559686888454,0.9676437000380662,Immigration,indvandr_flygt_udlænding,0.19657286080779934,1059,2627,511,søge
1611,0.08643457382953182,0.4528301886792453,Economy, økonom_ vækst,1.893736863016837,927,159,833,anderledes
1612,6.317888563049854,0.9730803974706413,Education,undervis_folkeskole_ungdomsuddan,0.13254054455014394,1382,11070,1705,kortere
1614,0.06081447963800905,0.28841201716738196,Economy, økonom_ vækst,1.9189205900309072,600,1165,5525,statsministeren
1615,1.0714285714285714,0.6521739130434783,Taxes,skat,1.105529928764921,3187,23,14,indkomst
1616,2.5303030303030303,0.4613259668508287,Science,forskning_ universitet_videregående udd,1.1651259143474137,2464,362,66,uddanne
1617,3.997382725991544,0.9767316017316018,Environment, klima_ miljø _ naturen ,0.15845965167731685,1545,20328,4967,eva
1618,0.39921016483516486,0.8106694560669456,Environment, klima_ miljø _ naturen ,0.786827071090742,997,2868,5824,hansen
1619,3.564334085778781,0.9764996907854051,Environment, klima_ miljø _ naturen ,0.15677232156498777,2642,12936,3544,kjer
1621,0.45120671563483733,0.4396728016359918,Crime,kriminal_kriminel,1.68582295027616,564,978,953,ændre
1622,0.1386861313868613,0.6404494382022472,Education,undervis_folkeskole_ungdomsuddan,1.198622267565805,2602,267,1233,faxe
1623,0.012306811677160847,0.30935251798561153,Education,undervis_folkeskole_ungdomsuddan,2.090769336527701,1773,139,3494,borgmesteren
1624,0.07431693989071038,0.3269230769230769,Culture,kunst _musik_museum_kulturpol,1.7010593607334161,1801,416,1830,slagelse
1625,0.059244126659857,0.2265625,Education,undervis_folkeskole_ungdomsuddan,2.3167031893692602,540,256,979,laver
1631,3.1561051004636784,0.906950921607817,Health, sundhed,0.43981820936956734,1003,4503,1294,hurtigere
1632,2.8117283950617282,0.721298495645289,Foreign affairs,udenrig_ forsvaret _militær,0.8009489366986255,1411,3789,972,løbe
1633,0.13493222106360792,0.625725338491296,Foreign affairs,udenrig_ forsvaret _militær,1.3599978920737632,467,1034,4795,stolt
1634,0.21264911948494603,0.42028443113772457,Culture,kunst _musik_museum_kulturpol,1.4316553065543112,325,2672,5281,dejligt
1635,0.4090909090909091,0.2647058823529412,Environment, klima_ miljø _ naturen ,1.6858930739693259,2773,34,22,laveste
1636,0.4603174603174603,0.5858585858585859,Crime,kriminal_kriminel,1.4343526143692817,849,99,126,stopper
1637,2.7034700315457414,0.8320388349514564,Economy, økonom_ vækst,0.7350276605380106,554,2060,634,gavn
1638,0.9897510980966325,0.46333104866346814,Economy, økonom_ vækst,1.6387025221212757,527,5836,2732,fremtidens
1639,0.12783090085556115,0.502970297029703,Science,forskning_ universitet_videregående udd,1.4053578463047378,1177,505,1987,tusind
1640,0.6462418300653595,0.7576628352490421,Culture,kunst _musik_museum_kulturpol,0.9277523083142977,929,1044,1224,fantastiske
1641,0.09497206703910614,0.2961672473867596,Health, sundhed,2.01673710697795,1298,574,1790,aktiv
1642,0.019345238095238096,0.18309859154929578,Culture,kunst _musik_museum_kulturpol,2.2448226216151803,812,71,672,venter
1643,0.04054054054054054,0.391304347826087,Employment, beskæftig,1.7104977555000394,1614,23,222,sagtens
1647,1.118846952485648,0.6591824985607369,Religion, religi_ værdipol,1.1268981679014505,5,13896,8187,går
1648,0.14468085106382977,0.5271317829457365,Culture,kunst _musik_museum_kulturpol,1.5017858770780093,1294,129,470,kollegaer
1650,0.4528301886792453,0.6233766233766234,Employment, beskæftig,1.3155929282000092,1468,77,106,borger
1651,0.24086565486228217,0.5303217821782178,Immigration,indvandr_flygt_udlænding,1.4505498795062681,1594,1616,3558,steget
1652,0.04512306289881495,0.18839200761179828,EU, EU _ eu,2.1971301299741754,328,1051,4388,rigtige
1653,1.3055827619980411,0.47488421802636266,Economy, økonom_ vækst,1.5447509101814478,718,2807,1021,investere
1654,0.3425925925925926,0.3274336283185841,Social policy,fattig_socialt udsat_socialminis_svageste,2.130165042517749,1609,113,108,stillede
1655,0.03460207612456748,0.22727272727272727,Religion, religi_ værdipol,2.325009346114875,844,88,578,tværtimod
1656,0.20215633423180593,0.5208333333333334,Economy, økonom_ vækst,1.7371571222656923,1085,144,371,skyldes
1657,0.10038188761593017,0.3087248322147651,Religion, religi_ værdipol,2.170691129146338,300,596,1833,især
1658,0.05714285714285714,0.23809523809523808,Culture,kunst _musik_museum_kulturpol,2.1844731077333592,1269,42,175,fylder
1661,0.17370242214532872,0.2601036269430052,Social policy,fattig_socialt udsat_socialminis_svageste,1.9070280450879924,1975,965,1445,tøj
1664,3.424048706240487,0.9640867403788463,Taxes,skat,0.18930846553020408,1620,11667,3285,tilliden
1665,0.09669947886508395,0.46822429906542057,Economy, økonom_ vækst,1.9755884704496254,796,1070,5181,randers
1666,4.096,0.9403122130394858,Health, sundhed,0.3238505869628764,2618,2178,500,sophie
1667,0.02610587382160986,0.23376623376623376,Crime,kriminal_kriminel,2.285589176172928,759,154,1379,helst
1668,0.24422236102435976,0.5423023578363384,Economy, økonom_ vækst,1.556130055949491,1212,721,1601,fakta
1669,0.018847006651884702,0.17,Education,undervis_folkeskole_ungdomsuddan,2.380959366370096,1080,100,902,nærmest
1670,0.03825717321997875,0.2178517397881997,Culture,kunst _musik_museum_kulturpol,2.4047788366452414,286,661,3764,sidder
1671,0.253678109674543,0.4144209759650401,Crime,kriminal_kriminel,1.9716985795421662,179,1373,2243,omkring
1672,0.45794392523364486,0.593939393939394,Economy, økonom_ vækst,1.4918820355408704,4668,165,214,syd-
1673,1.6533333333333333,0.3622704507512521,Social policy,fattig_socialt udsat_socialminis_svageste,1.5031864011263378,2561,2396,525,fattigste
1674,0.9,0.5454545454545454,Economy, økonom_ vækst,1.0541524094497838,2793,33,20,gevinst
1676,1.0240963855421688,0.5537459283387622,EU, EU _ eu,0.9270765921609672,1759,307,166,fremgang
1677,5.333333333333333,0.9411764705882353,Employment, beskæftig,0.22371807606583377,4118,17,3,arbejdsgiverne
1678,0.3713646532438479,0.4213197969543147,Social policy,fattig_socialt udsat_socialminis_svageste,1.7653259134065717,897,788,894,projekt
1679,0.2851153039832285,0.35789473684210527,Science,forskning_ universitet_videregående udd,1.5445010220145978,1157,1900,2385,kolding
1680,0.05257510729613734,0.35251798561151076,Culture,kunst _musik_museum_kulturpol,1.8332196256163378,1771,139,932,vejle
1681,0.12373096446700507,0.547752808988764,Economy, økonom_ vækst,1.5877527039666708,1604,356,1576,horsens
1682,0.5457825890843482,0.711764705882353,Economy, økonom_ vækst,1.0960005532149204,1179,1700,2217,besøgt
1683,0.20059880239520958,0.27459016393442626,Religion, religi_ værdipol,1.940105700244982,731,244,334,stærke
1684,0.11342155009451796,0.345821325648415,Science,forskning_ universitet_videregående udd,1.7362996342709933,769,347,1058,mødt
1685,0.07570900123304562,0.2847866419294991,Culture,kunst _musik_museum_kulturpol,2.186533516836156,137,1078,4055,inden
1686,0.1111111111111111,0.33962264150943394,Education,undervis_folkeskole_ungdomsuddan,1.6569944155482723,2758,53,162,drømmer
1687,0.22795869737887212,0.46215780998389694,Science,forskning_ universitet_videregående udd,1.809381885304083,544,621,1259,vigtigste
1688,0.7107355864811133,0.7229524772497472,Economy, økonom_ vækst,0.9402938374723233,1082,989,1006,finanslov
1689,1.173669467787115,0.6216617210682492,Employment, beskæftig,1.0647100058797916,3192,674,357,ryanair
1690,0.5327102803738317,0.3877551020408163,EU, EU _ eu,1.4260259907155757,5433,147,107,børnepenge
1691,2.2462840155499655,0.8963409070170636,Taxes,skat,0.45458602875914966,1037,10959,4373,biler
1692,0.1536231884057971,0.3509933774834437,Culture,kunst _musik_museum_kulturpol,2.0022474287875087,3260,151,345,t
1693,0.2553191489361702,0.22857142857142856,Social policy,fattig_socialt udsat_socialminis_svageste,1.9034644951335884,2810,105,94,velfærdssamfundet
1695,0.5692307692307692,0.4830287206266319,Social policy,fattig_socialt udsat_socialminis_svageste,1.5799730037138773,972,383,325,indsatsen
1697,0.7723577235772358,0.6597222222222222,Economy, økonom_ vækst,1.070389222097122,1301,144,123,nemmere
1700,0.1215034965034965,0.2252836304700162,Economy, økonom_ vækst,2.267488904955686,1901,1234,2288,dels
1701,0.4311377245508982,0.7561260210035006,Economy, økonom_ vækst,1.0465798107018847,1737,857,1503,svendborg
1702,1.427027027027027,0.7833827893175074,Social policy,fattig_socialt udsat_socialminis_svageste,0.8596267200432018,2198,337,185,samfundets
1703,0.5312954876273653,0.3424015009380863,Environment, klima_ miljø _ naturen ,1.7884294217333052,656,3198,2061,udvikle
1704,0.3333333333333333,0.3188405797101449,Social policy,fattig_socialt udsat_socialminis_svageste,1.8282915617310476,1290,69,66,succes
1705,0.4141791044776119,0.6183844011142061,Economy, økonom_ vækst,1.4241915240693794,1372,359,536,opgaven
1706,1.84,0.46,Education,undervis_folkeskole_ungdomsuddan,1.1062589245370005,2069,100,25,skaffe
1707,0.23529411764705882,1.0,Employment, beskæftig,0.0,2745,4,17,knokler
1708,3.6126258904446082,0.9791611185086552,Culture,kunst _musik_museum_kulturpol,0.14153753989247622,197,30040,8142,fantastisk
1709,0.20114942528735633,0.5573248407643312,Immigration,indvandr_flygt_udlænding,1.459463730373298,1359,628,1740,faldet
1710,0.045454545454545456,0.3333333333333333,Employment, beskæftig,1.8428570055276674,1478,21,154,ren
1711,0.2391304347826087,0.5,Economy, økonom_ vækst,1.123130821077698,1628,22,46,periode
1712,0.5417743324720069,0.7229885057471265,Crime,kriminal_kriminel,1.0300524854863393,910,870,1161,tilfælde
1713,1.0869565217391304,0.43352601156069365,Economy, økonom_ vækst,1.6133893791688052,3062,173,69,udenlandsk
1714,0.24307417336907952,0.3285024154589372,Economy, økonom_ vækst,2.082858830146946,312,828,1119,idag
1717,0.07407407407407407,0.2857142857142857,Employment, beskæftig,1.5498260458782016,1484,7,27,tredje
1718,0.2495164410058027,0.4043887147335423,Religion, religi_ værdipol,2.0770283415867636,727,319,517,budskab
1719,0.24210526315789474,0.36507936507936506,Employment, beskæftig,1.4647960526333856,1745,63,95,centrum
1720,0.13846153846153847,0.391304347826087,Religion, religi_ værdipol,1.4921530032950385,2941,23,65,mennesket
1721,0.23958333333333334,0.4742268041237113,Economy, økonom_ vækst,1.7067352542983183,2574,679,1344,e
1722,0.25,0.3333333333333333,Employment, beskæftig,1.0986122886681096,3266,3,4,kø
1723,3.5,0.84,Employment, beskæftig,0.439669879401343,4565,25,6,stillinger
1724,2.25,0.5,Economy, økonom_ vækst,0.8675632284814613,3886,18,4,kvalificeret
1725,2.0416666666666665,0.875,Taxes,skat,0.5363994436897042,2206,56,24,regningen
1726,1.6666666666666667,0.7142857142857143,Taxes,skat,0.5982695885852573,5529,7,3,arbejdende
1727,1.3055555555555556,0.8433931484502447,Taxes,skat,0.720294970558439,778,613,396,system
1728,0.8777506112469438,0.9276485788113695,Immigration,indvandr_flygt_udlænding,0.4004399939340375,1129,387,409,antal
1729,0.05228758169934641,0.1702127659574468,Taxes,skat,2.452885075297148,698,188,612,reelt
1730,0.2849740932642487,0.3716216216216216,Economy, økonom_ vækst,1.7066793224901557,1494,296,386,værdi
1731,1.419864559819413,0.5283494330113397,Immigration,indvandr_flygt_udlænding,1.251792342385967,994,2381,886,rejse
1732,0.06188925081433225,0.23949579831932774,Immigration,indvandr_flygt_udlænding,2.264153415442646,647,238,921,lyder
1733,0.175,0.35,Social policy,fattig_socialt udsat_socialminis_svageste,1.6123440373159983,4683,20,40,velfærdsstaten
1734,0.4945054945054945,0.45,Culture,kunst _musik_museum_kulturpol,1.7304682311725428,3259,200,182,up
1735,0.0625,0.1896551724137931,Economy, økonom_ vækst,2.2708764291250234,715,58,176,gøres
1736,0.3333333333333333,0.4,Employment, beskæftig,1.0549201679861442,4675,5,6,netto
1737,1.3186813186813187,0.6185567010309279,Employment, beskæftig,1.2563241896542094,6530,194,91,sygedagpenge
1739,0.1569767441860465,0.5294117647058824,Health, sundhed,1.3494091044167051,2891,51,172,dokumentation
1741,2.698173153296267,0.8446046742913973,Culture,kunst _musik_museum_kulturpol,0.7079261061078518,2217,4022,1259,copenhagen
1742,0.9545454545454546,0.4221105527638191,Foreign affairs,udenrig_ forsvaret _militær,1.2583708317317988,3818,199,88,business
1743,2.5753424657534247,0.714828897338403,Foreign affairs,udenrig_ forsvaret _militær,0.780870990090783,2711,263,73,times
1744,1.5333333333333334,0.92,Foreign affairs,udenrig_ forsvaret _militær,0.2787693717685874,6003,25,15,youth
1745,1.6666666666666667,0.851528384279476,Foreign affairs,udenrig_ forsvaret _militær,0.5475468148501373,2996,229,117,world
1746,2.1760184473481936,0.9999116997792494,Foreign affairs,udenrig_ forsvaret _militær,0.0009125583928425184,7148,11325,5204,great
1747,1.8455528846153846,0.9998372130880677,Foreign affairs,udenrig_ forsvaret _militær,0.0015827750453021306,3770,6143,3328,people
1748,2.2412360425863413,0.9998841519925857,Foreign affairs,udenrig_ forsvaret _militær,0.0011657986075877293,23354,8632,3851,america
1749,1.558465286236297,0.9992190550566185,Foreign affairs,udenrig_ forsvaret _militær,0.0063683056083423785,16009,2561,1642,american
1750,1.063004846526656,0.9984825493171472,Foreign affairs,udenrig_ forsvaret _militær,0.011365651631401423,4158,659,619,us
1751,1.2051063829787234,0.9698630136986301,Foreign affairs,udenrig_ forsvaret _militær,0.19413502764259283,1017,1460,1175,time
1752,1.1490683229813665,0.9978425026968716,Foreign affairs,udenrig_ forsvaret _militær,0.016895089623036104,4410,927,805,one
1753,2.0140096618357486,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,9466,4169,2070,today
1754,2.1822638146167557,0.9995917534190651,Foreign affairs,udenrig_ forsvaret _militær,0.00387694722619507,12653,4899,2244,thank
1755,2.151953125,0.9998185117967332,Foreign affairs,udenrig_ forsvaret _militær,0.0017448691746924196,8335,5510,2560,make
1756,1.287037037037037,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,5486,139,108,first
1757,3.1904761904761907,0.9896602658788775,Foreign affairs,udenrig_ forsvaret _militær,0.0715339754509492,10710,677,210,meeting
1766,1.0528301886792453,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,9259,837,795,country
1767,0.7798830409356725,0.9811653914067098,Foreign affairs,udenrig_ forsvaret _militær,0.12412896349543902,602,6796,8550,of
1768,0.7784536203064686,0.982868114015655,Foreign affairs,udenrig_ forsvaret _militær,0.11034501496558238,644,6771,8549,and
1769,0.7525150905432596,0.9939033922151008,Foreign affairs,udenrig_ forsvaret _militær,0.044304732653265774,858,6397,8449,in
1770,0.4757596218771101,0.9862821948488242,Foreign affairs,udenrig_ forsvaret _militær,0.09649974522082942,978,3572,7405,it
1771,0.19103124494090984,0.9983079526226735,Foreign affairs,udenrig_ forsvaret _militær,0.01248895011191639,1556,1182,6177,you
1772,0.0440157332833864,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,1804,235,5339,that
1773,0.008982035928143712,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,1842,39,4342,we
1774,1.3333333333333333,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,6957,996,747,get
1775,0.7363487227560347,0.9514004542013627,Foreign affairs,udenrig_ forsvaret _militær,0.2931665160964628,583,6605,8534,a
1776,1.2603799185888738,0.9753254934901302,Foreign affairs,udenrig_ forsvaret _militær,0.14036900123635015,621,9524,7370,is
1777,1.4166666666666667,0.9902912621359223,Foreign affairs,udenrig_ forsvaret _militær,0.054658823618027506,4414,103,72,day
1778,2.15,0.9885057471264368,Foreign affairs,udenrig_ forsvaret _militær,0.0627602166108864,7913,87,40,house
1779,2.5934065934065935,0.9833333333333333,Foreign affairs,udenrig_ forsvaret _militær,0.10209475522880856,2319,240,91,national
1780,2.3333333333333335,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,12656,14,6,state
1781,1.1371742112482852,0.9650756693830035,Foreign affairs,udenrig_ forsvaret _militær,0.18245726605930274,1586,859,729,live
1782,2.3681159420289855,0.9975579975579976,Foreign affairs,udenrig_ forsvaret _militær,0.017127508930307213,12273,819,345,watch
1783,0.5662650602409639,0.9791666666666666,Foreign affairs,udenrig_ forsvaret _militær,0.11570538382845746,11313,96,166,need
1784,0.625,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,7502,30,48,back
1785,2.0,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,12138,28,14,white
1786,0.40217391304347827,0.9487179487179487,Foreign affairs,udenrig_ forsvaret _militær,0.23781901105692071,8574,39,92,must
1787,1.105263157894737,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,13650,42,38,united
1788,2.0,0.9854368932038835,Foreign affairs,udenrig_ forsvaret _militær,0.08868218371170353,11173,412,203,join
1789,2.8947368421052633,0.9717314487632509,Foreign affairs,udenrig_ forsvaret _militær,0.12867098177134434,15933,283,95,golf
1790,0.5847457627118644,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,8175,69,118,women
1791,1.3333333333333333,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,8352,16,12,rights
1792,2.5675675675675675,0.9895833333333334,Foreign affairs,udenrig_ forsvaret _militær,0.05790751748813433,21751,96,37,secretary
1793,2.791044776119403,0.9842105263157894,Foreign affairs,udenrig_ forsvaret _militær,0.09121562103981466,11982,190,67,th
1795,0.9473684210526315,0.5294117647058824,Foreign affairs,udenrig_ forsvaret _militær,0.8014356817142757,7634,34,19,school
1796,1.5,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,27717,6,4,veterans
1797,0.5405405405405406,0.9523809523809523,Foreign affairs,udenrig_ forsvaret _militær,0.19144408195771734,14955,21,37,states
1798,0.5529411764705883,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,9392,47,85,would
1799,1.411764705882353,0.8727272727272727,Foreign affairs,udenrig_ forsvaret _militær,0.38116919310581715,5087,55,34,show
1800,1.6274509803921569,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,14420,83,51,night
1801,3.0,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,17278,3,1,un
1802,2.5,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,26568,20,8,travel
1803,2.0833333333333335,0.8620689655172413,Foreign affairs,udenrig_ forsvaret _militær,0.5445996236821669,10514,29,12,mike
1804,4.7283345892991715,0.9808503986243552,Foreign affairs,udenrig_ forsvaret _militær,0.1373221120070687,1785,12794,2654,f
1805,0.325,0.4970588235294118,Culture,kunst _musik_museum_kulturpol,1.7836568951662977,3115,340,520,d
1806,0.31666666666666665,0.4935064935064935,Culture,kunst _musik_museum_kulturpol,1.8473145585123165,3457,154,240,susanne
1807,2.0,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,20384,2,1,vice
1808,0.3172839506172839,0.619277108433735,Culture,kunst _musik_museum_kulturpol,1.4533984771810495,985,415,810,video
1809,2.0,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,10818,4,2,france
1810,1.096969696969697,0.7448559670781894,Culture,kunst _musik_museum_kulturpol,0.9957267996199937,5922,486,330,melodi
1811,1.253968253968254,0.9875,Foreign affairs,udenrig_ forsvaret _militær,0.06719688036269783,16582,80,63,vote
1812,0.8947368421052632,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,6105,17,19,last
1813,0.7586206896551724,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,17880,22,29,going
1814,0.7391304347826086,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,11928,17,23,support
1815,0.4,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,10509,14,35,work
1816,0.3333333333333333,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,7703,1,3,take
1817,0.36363636363636365,0.9411764705882353,Foreign affairs,udenrig_ forsvaret _militær,0.22371807606583377,9816,17,44,many
1818,0.35714285714285715,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,19315,15,42,every
1821,5.491228070175438,0.9484848484848485,Foreign affairs,udenrig_ forsvaret _militær,0.2605743654844962,6289,330,57,sanders
1822,0.004329004329004329,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,2097,1,231,not
1823,1.5,0.8181818181818182,Foreign affairs,udenrig_ forsvaret _militær,0.47413931305783735,5224,11,6,city
1824,3.625441696113074,0.8368678629690048,Foreign affairs,udenrig_ forsvaret _militær,0.6683335297981926,3357,1226,283,fns
1826,3.0,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,12604,3,1,friday
1827,0.3915644630571343,0.5603595890410958,Religion, religi_ værdipol,1.2333169386108418,3061,2336,3343,julen
1828,0.5,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,7186,8,16,want
1829,0.6944444444444444,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,14090,25,36,together
1830,0.47058823529411764,0.8888888888888888,Foreign affairs,udenrig_ forsvaret _militær,0.34883209584303193,9741,9,17,never
1831,0.8181818181818182,0.6206896551724138,Foreign affairs,udenrig_ forsvaret _militær,0.8913746976362348,2974,29,22,hotel
